date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
28-MAR-2018,Boeing 737-76J (WL),D-ABLB,Germania,0,Tel Aviv-Ben...,,,A2,https://aviation-safety.net/database/record.php?id=20180328-0
28-MAR-2018,Boeing 767-3Q8ER,4X-EAK,El Al,0,Tel Aviv-Ben...,,,A1,https://aviation-safety.net/database/record.php?id=20180328-1
29-MAR-2018,Swearingen SA227-DC Metro 23,CP-2459,Línea Aérea Amaszonas,0,Riberalta-Ca...,,,A2,https://aviation-safety.net/database/record.php?id=20180329-0
29-MAR-2018,ATR 72-212A (ATR 72-600),XA-UYY,Aeromar,0,Mexico City-...,,,A2,https://aviation-safety.net/database/record.php?id=20180329-1
29-MAR-2018,ATR 42-500,XA-UAV,Aeromar,0,Mexico City-...,,,A2,https://aviation-safety.net/database/record.php?id=20180329-2
29-MAR-2018,Beech 99,N31TN,Lake Clark Air,0,Pilot Point ...,,,A2,https://aviation-safety.net/database/record.php?id=20180329-3
30-MAR-2018,Cessna 650 Citation III,N126MT,2M Leasing,0,Orlando-Cent...,,,A1,https://aviation-safety.net/database/record.php?id=20180330-0
30-MAR-2018,Antonov An-12BK,UR-KDM,Cavok Air,0,Gao Airport ...,,,I2,https://aviation-safety.net/database/record.php?id=20180330-1
31-MAR-2018,Cessna 208B Grand Caravan,N9339B,Skydive the Ranch,0,near Gardiner Air...,,,A1,https://aviation-safety.net/database/record.php?id=20180331-0
02-APR-2018,Cessna 525C Citation CJ4,N511AC,Avis Industrial Corporation,0,Marion Munic...,,,A2,https://aviation-safety.net/database/record.php?id=20180402-0
04-APR-2018,Learjet 45XR,N618CW,ERG Holdings,0,Houston-Will...,,,O1,https://aviation-safety.net/database/record.php?id=20180404-0
04-APR-2018,Learjet 40XR,N626FX,Union Gas Air Ventures I,0,Houston-Will...,,,O1,https://aviation-safety.net/database/record.php?id=20180404-1
04-APR-2018,Cessna 560XL Citation Excel,N900WL,MTC Enterprises,0,Houston-Will...,,,O1,https://aviation-safety.net/database/record.php?id=20180404-2
04-APR-2018,Learjet 60,N759SH,Henning Aviation,0,Houston-Will...,,,O1,https://aviation-safety.net/database/record.php?id=20180404-3
05-APR-2018,Antonov An-26,UP-AN607,Mega Aircompany,0,Wau Airport ...,,,A2,https://aviation-safety.net/database/record.php?id=20180405-0
09-APR-2018,Boeing 737-9B5,HL7725,Korean Air,0,Osaka-Kansai...,,,A2,https://aviation-safety.net/database/record.php?id=20180409-0
09-APR-2018,Beech 200 Super King Air,LN-NOA,Airwing,0,Stavanger-So...,,,A2,https://aviation-safety.net/database/record.php?id=20180409-1
11-APR-2018,Ilyushin Il-76TD,7T-WIV,Algerian AF,257,near Boufarik Air...,,,A1,https://aviation-safety.net/database/record.php?id=20180411-0
11-APR-2018,Cessna 208B Grand Caravan,N814GV,"Hageland Aviation Services, opf Ravn Connect",0,near Atqasuk Airp...,,,A1,https://aviation-safety.net/database/record.php?id=20180411-1
12-APR-2018,Cessna 208B Grand Caravan,5Y-SAV,Penial Air,0,"El Barde, So...",,,A2,https://aviation-safety.net/database/record.php?id=20180412-0
13-APR-2018,Lockheed P-3C Orion,,US Navy,0,"near Omaha, NE",,,A1,https://aviation-safety.net/database/record.php?id=20180413-0
14-APR-2018,Antonov An-74-200,EK-74036,Ayk Avia,0,Akola village,,,A1,https://aviation-safety.net/database/record.php?id=20180414-0
15-APR-2018,Airbus A321-213,B-6555,Air China,0,Zhengzhou-Xi...,,,H2,https://aviation-safety.net/database/record.php?id=20180415-0
15-APR-2018,Cessna 525 CitationJet,N525P,private,1,"near Crozet, VA",,,A1,https://aviation-safety.net/database/record.php?id=20180415-1
15-APR-2018,Cessna 550 Citation Bravo,N4AT,Private,0,Winnipeg-Jam...,,,A2,https://aviation-safety.net/database/record.php?id=20180415-2
15-APR-2018,Bombardier Challenger 605,C-FXWT,Morningstar Partners,0,Winnipeg-Jam...,,,O2,https://aviation-safety.net/database/record.php?id=20180415-3
15-APR-2018,DHC-6 Twin Otter 100,C-FSCA,Transwest Air,0,Prince Alber...,,,O1,https://aviation-safety.net/database/record.php?id=20180415-4
15-APR-2018,Saab 340B,C-GTWK,Transwest Air,0,Prince Alber...,,,O1,https://aviation-safety.net/database/record.php?id=20180415-5
16-APR-2018,Cessna 525 CitationJet CJ1,D-ISWA,private,0,Le Touquet A...,,,A2,https://aviation-safety.net/database/record.php?id=20180416-0
17-APR-2018,Boeing 737-7H4 (WL),N772SW,Southwest Airlines,1,near Philadelphia...,,,A1,https://aviation-safety.net/database/record.php?id=20180417-0
17-APR-2018,DHC-8-402Q Dash 8,G-JECX,Flybe,0,Newquay-Corn...,,,A2,https://aviation-safety.net/database/record.php?id=20180417-1
18-APR-2018,Airbus A330-302,N806NW,Delta Air Lines,0,Atlanta-Will...,,,A2,https://aviation-safety.net/database/record.php?id=20180418-0
20-APR-2018,MD-83,N807WA,World Atlantic Airlines,0,Alexandria I...,,,A1,https://aviation-safety.net/database/record.php?id=20180420-0
29-APR-2018,Boeing 737-8GP (WL),PK-LOO,Lion Air,0,Gorontalo-Ja...,,,A2,https://aviation-safety.net/database/record.php?id=20180429-0
29-APR-2018,Lockheed L-100-30 Hercules,111,Libyan Air Force,3,near Sharara Airs...,,,A1,https://aviation-safety.net/database/record.php?id=20180429-1
29-APR-2018,Beech 1900C,N172GA,Alpine Aviation,0,Sioux Falls ...,,,A2,https://aviation-safety.net/database/record.php?id=20180429-2
30-APR-2018,Boeing 737-8AS (WL),EI-GDZ,Ryanair,0,London-Stans...,,,A2,https://aviation-safety.net/database/record.php?id=20180430-0
01-MAY-2018,Bombardier CRJ-900LR (CL-600-2D24),N606LR,"Endeavor Air, opf Delta Connection",0,New York-Joh...,,,A2,https://aviation-safety.net/database/record.php?id=20180501-0
01-MAY-2018,Boeing 767-332ER (WL),N172DN,Delta Air Lines,0,New York-Joh...,,,A2,https://aviation-safety.net/database/record.php?id=20180501-1
02-MAY-2018,Lockheed WC-130H Hercules,65-0968,USAF,9,near Savannah/Hil...,,,A1,https://aviation-safety.net/database/record.php?id=20180502-0
02-MAY-2018,Beech C99,PNC0203,Colombian Police,4,near Ibagué,,,A1,https://aviation-safety.net/database/record.php?id=20180502-1
02-MAY-2018,Boeing 737-8K5 (WL),OO-JAY,TUI fly Belgium,0,Marrakech-Me...,,,A2,https://aviation-safety.net/database/record.php?id=20180502-2
03-MAY-2018,Dassault Falcon 900EX,ZS-DEX,Blueport Trade 121,0,Johannesburg...,,,A2,https://aviation-safety.net/database/record.php?id=20180503-0
04-MAY-2018,Cessna 525C Citation CJ4,EC-MOQ,Aluminios Cortizo,0,Santiago de ...,,,A2,https://aviation-safety.net/database/record.php?id=20180504-0
05-MAY-2018,Embraer KC-390,PT-ZNF,Embraer,0,Gavião Peixo...,,,A2,https://aviation-safety.net/database/record.php?id=20180505-0
07-MAY-2018,Boeing 737-8H4 (WL),N8655D,Southwest Airlines,0,Baltimore/Wa...,,,A2,https://aviation-safety.net/database/record.php?id=20180507-0
12-MAY-2018,Lockheed L-100-30 Hercules,N403LC,"Lynden Air Cargo, opf PNG Air",0,Port Moresby...,,,A2,https://aviation-safety.net/database/record.php?id=20180512-0
12-MAY-2018,Boeing 737-8BK (WL),P2-PXE,Air Niugini,0,Port Moresby...,,,A2,https://aviation-safety.net/database/record.php?id=20180512-1
13-MAY-2018,Airbus A321-231,TC-JMM,THY,0,Istanbul-Ata...,,,A2,https://aviation-safety.net/database/record.php?id=20180513-0
13-MAY-2018,Airbus A330-323,HL7792,Asiana Airlines,0,Istanbul-Ata...,,,A2,https://aviation-safety.net/database/record.php?id=20180513-1
13-MAY-2018,Cessna 208B Grand Caravan,G-KNYS,"Irish Parachute Club, lsf Parachuting Caravan Leasing",2,near Clonbullogue...,,,A1,https://aviation-safety.net/database/record.php?id=20180513-2
15-MAY-2018,Cessna 208B Grand Caravan,,private,2,near Tuzantán,,,A1,https://aviation-safety.net/database/record.php?id=20180515-0
16-MAY-2018,Cessna 208B Grand Caravan,9N-AJU,Makalu Air,2,Bahun Khark,,,A1,https://aviation-safety.net/database/record.php?id=20180516-0
18-MAY-2018,Boeing 737-201,XA-UHZ,"Cubana, lsf Global Air",112,near Havana-José ...,,,A1,https://aviation-safety.net/database/record.php?id=20180518-0
20-MAY-2018,Gulfstream G200 Galaxy,B-8129,Star Jet,0,Yangzhou Tai...,,,A1,https://aviation-safety.net/database/record.php?id=20180520-0
21-MAY-2018,Airbus A330-243,TC-OCH,"Saudi Arabian, lsf Onur Air",0,Jeddah-King ...,,,A1,https://aviation-safety.net/database/record.php?id=20180521-0
22-MAY-2018,Cessna 208B Grand Caravan,PT-FLW,Amazonaves Táxi Aéreo,0,near Manaus-Aeroc...,,,A1,https://aviation-safety.net/database/record.php?id=20180522-0
22-MAY-2018,Gulfstream G200 Galaxy,N813WM,Silver Air,0,Tegucigalpa-...,,,A1,https://aviation-safety.net/database/record.php?id=20180522-1
23-MAY-2018,Beech 200 Super King Air,N905GP,Air Katanga,0,Kolwezi Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20180523-0
23-MAY-2018,Beech 200 Super King Air,N800HA,Titan Drilling,0,Kolwezi Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20180523-1
24-MAY-2018,Swearingen SA227-AC Metro III,XA-UPP,Aeronaves TSM,0,Saltillo-Pla...,,,A2,https://aviation-safety.net/database/record.php?id=20180524-0
30-MAY-2018,Cessna 208B Grand Caravan,5X-MRH,"Air Serv Limited, opf UNHAS",0,Kamonia Airs...,,,A1,https://aviation-safety.net/database/record.php?id=20180530-0
30-MAY-2018,Cessna 208B Grand Caravan,5Y-ETY,Asure Air,0,near Obo-Mission ...,,,A2,https://aviation-safety.net/database/record.php?id=20180530-1
03-JUN-2018,Lockheed C-130H Hercules,7T-WHT,Algerian AF,1,near Biskra Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20180603-0
05-JUN-2018,Cessna 208B Grand Caravan,5Y-CAC,Fly-SAX,10,near Njabini,,,A1,https://aviation-safety.net/database/record.php?id=20180605-0
06-JUN-2018,Cessna 525A CitationJet CJ2+,D-IULI,ProAir,0,Saint Tropez...,,,A1,https://aviation-safety.net/database/record.php?id=20180606-0
06-JUN-2018,Antonov An-2R,YR-DAX,Aeroserv,0,"Baleni, Gala...",,,A1,https://aviation-safety.net/database/record.php?id=20180606-1
09-JUN-2018,DHC-6 Twin Otter 300,9N-AEV,Tara Air,0,Jumla Airpor...,,,A2,https://aviation-safety.net/database/record.php?id=20180609-0
11-JUN-2018,Airbus A340-313,D-AIFA,Lufthansa,0,Frankfurt In...,,,O1,https://aviation-safety.net/database/record.php?id=20180611-0
11-JUN-2018,BN-2B-26 Islander,VP-FBM,FIGAS,0,Beaver Islan...,,,A2,https://aviation-safety.net/database/record.php?id=20180611-1
14-JUN-2018,DHC-8-202Q Dash 8,P2-ANX,LinkPNG,0,Mendi Airpor...,,,O1,https://aviation-safety.net/database/record.php?id=20180614-0
14-JUN-2018,MD-83,UR-CPR,Bravo Airways,0,Kiev-Igor Si...,,,A1,https://aviation-safety.net/database/record.php?id=20180614-1
18-JUN-2018,Cessna 208B Grand Caravan,PK-FSL,Spirit Avia Sentosa,0,near Nabire Airpo...,,,A2,https://aviation-safety.net/database/record.php?id=20180618-0
21-JUN-2018,Embraer ERJ 170LR (ERJ-170-100 LR),N876RW,"Republic Airlines, opf Delta Connection",0,Columbus-Joh...,,,O1,https://aviation-safety.net/database/record.php?id=20180621-0
22-JUN-2018,DHC-6 Twin Otter 300,PK-HVU,Dimonim Air,0,Kenyam Airstrip,,,C2,https://aviation-safety.net/database/record.php?id=20180622-0
24-JUN-2018,Let L-410UVP,3X-AAJ,Eagle Air,4,"Souguéta, Ki...",,,A1,https://aviation-safety.net/database/record.php?id=20180624-0
25-JUN-2018,DHC-6 Twin Otter 300,PK-YRU,Trigana Air Service,0,Kenyam Airstrip,,,C2,https://aviation-safety.net/database/record.php?id=20180625-0
26-JUN-2018,Boeing 777-2B5ER,HL7764,Korean Air,0,Seoul-Gimpo ...,,,O2,https://aviation-safety.net/database/record.php?id=20180626-0
26-JUN-2018,Airbus A330-323,HL8286,Asiana Airlines,0,Seoul-Gimpo ...,,,O2,https://aviation-safety.net/database/record.php?id=20180626-1
26-JUN-2018,Learjet 60,N57,FAA,0,Salt Lake Ci...,,,A2,https://aviation-safety.net/database/record.php?id=20180626-2
26-JUN-2018,Ilyushin Il-76,,Iran AF,0,Damascus Int...,,,O1,https://aviation-safety.net/database/record.php?id=20180626-3
27-JUN-2018,Antonov An-2R,RA-62524,Feniks,0,Nizhneudinsk...,,,A2,https://aviation-safety.net/database/record.php?id=20180627-0
30-JUN-2018,BN-2A-26 Islander,V3-HFB,Maya Island Air,0,San Pedro Ai...,,,A2,https://aviation-safety.net/database/record.php?id=20180630-0
04-JUL-2018,Cessna 208B Grand Caravan,N208EE,Air Choice One,0,Chicago-O'Ha...,,,A2,https://aviation-safety.net/database/record.php?id=20180704-0
05-JUL-2018,Cessna 208B Grand Caravan,5Y-BUC,Flex Air Charters,0,near Padek Airstrip,,,A1,https://aviation-safety.net/database/record.php?id=20180705-0
05-JUL-2018,Dornier 228-202,VH-VJN,GAM,0,Thangool Air...,,,A2,https://aviation-safety.net/database/record.php?id=20180705-1
06-JUL-2018,ATR 72-212A (ATR 72-600),CS-DJG,"TAP Express, opb White Airways",0,Fez-Sais Air...,,,A2,https://aviation-safety.net/database/record.php?id=20180706-0
09-JUL-2018,DHC-3T Texas Turbine Otter,C-GBQC,Ookpik Aviation,0,"Parker Lake, NU",,,A2,https://aviation-safety.net/database/record.php?id=20180709-0
09-JUL-2018,ATR 72-600 (72-212A),CN-COH,RAM Express,0,near Al Hoceima-C...,,,A2,https://aviation-safety.net/database/record.php?id=20180709-1
10-JUL-2018,Convair CV-340,ZS-BRV,Rovos Air,1,near Pretoria-Won...,,,A1,https://aviation-safety.net/database/record.php?id=20180710-0
10-JUL-2018,DHC-3T Vazar Turbine Otter,N3952B,Taquan Air,0,"Mount Jumbo,...",,,A1,https://aviation-safety.net/database/record.php?id=20180710-1
11-JUL-2018,Douglas DC-3C,HK-3293,Air Colombia,0,San Felipe A...,,,A2,https://aviation-safety.net/database/record.php?id=20180711-0
16-JUL-2018,Curtiss C-46F,N1822M,Everts Air Fuel,0,Manley Hot S...,,,A2,https://aviation-safety.net/database/record.php?id=20180716-0
16-JUL-2018,Boeing 737-8F2 (WL),LV-HQY,Flybondi,0,Cataratas de...,,,A2,https://aviation-safety.net/database/record.php?id=20180716-1
20-JUL-2018,Antonov An-26B,UP-AN611,Kazairtrans Airline,0,near Al Alamain,,,A1,https://aviation-safety.net/database/record.php?id=20180720-0
21-JUL-2018,Douglas C-47B (DC-3),N47HL,"CAF, Highland Lakes Squadron",0,Burnet Munic...,,,A1,https://aviation-safety.net/database/record.php?id=20180721-0
22-JUL-2018,Cessna 750 Citation X,N752TX,Textron,0,Cork Airport...,,,A2,https://aviation-safety.net/database/record.php?id=20180722-0
23-JUL-2018,Cessna 560 Citation Encore,N866VP,OzAir Charter Service,0,near Tulsa Intern...,,,A2,https://aviation-safety.net/database/record.php?id=20180723-0
27-JUL-2018,Antonov An-2R,9S-GFS,Air Kasai,5,near Kamako Airstrip,,,A1,https://aviation-safety.net/database/record.php?id=20180727-0
27-JUL-2018,Boeing 767-38EER,N641GT,Atlas Air,0,Portsmouth I...,,,A2,https://aviation-safety.net/database/record.php?id=20180727-1
28-JUL-2018,ATR 72-212A (ATR 72-500),YJ-AV71,Air Vanuatu,0,Port Vila-Ba...,,,A1,https://aviation-safety.net/database/record.php?id=20180728-0
28-JUL-2018,BN-2A-8 Islander,YJ-OO9,Unity Airlines,0,Port Vila-Ba...,,,O1,https://aviation-safety.net/database/record.php?id=20180728-1
28-JUL-2018,BN-2A-27 Islander,YJ-AL2,Air Taxi Vanuatu,0,Port Vila-Ba...,,,O2,https://aviation-safety.net/database/record.php?id=20180728-2
30-JUL-2018,Antonov An-2R,RA-40649,private,0,Evenki distr...,,,A1,https://aviation-safety.net/database/record.php?id=20180730-0
31-JUL-2018,Embraer ERJ 190AR,XA-GAL,Aeroméxico Connect,0,Durango-Guad...,,,A1,https://aviation-safety.net/database/record.php?id=20180731-0
01-AUG-2018,Beech B300 King Air 350,N557AP,Atlantic Transportation of Wilmington,0,near Wilmington-N...,,,A2,https://aviation-safety.net/database/record.php?id=20180801-0
04-AUG-2018,Junkers Ju-52/3mg4e,HB-HOT,Ju-Air,20,near Piz Segnas,,,A1,https://aviation-safety.net/database/record.php?id=20180804-0
07-AUG-2018,Cessna 208B Grand Caravan,VT-UDN,Supreme Airlines,0,Lalgarh Airport,,,A2,https://aviation-safety.net/database/record.php?id=20180807-0
07-AUG-2018,Dassault Falcon 20D,N961AA,Alliance Air Charter,0,near San Luis Pot...,,,A2,https://aviation-safety.net/database/record.php?id=20180807-1
09-AUG-2018,Boeing 787-8,CN-RGT,RAM,0,Istanbul-Ata...,,,A2,https://aviation-safety.net/database/record.php?id=20180809-0
09-AUG-2018,Boeing 777-3F2ER,TC-JJZ,THY,0,Istanbul-Ata...,,,A2,https://aviation-safety.net/database/record.php?id=20180809-1
10-AUG-2018,DHC-8-402Q Dash 8,N449QX,"Horizon Air, opf Alaska Airlines",1,Ketron Islan...,,,C1,https://aviation-safety.net/database/record.php?id=20180810-0
13-AUG-2018,Cessna 525 CitationJet,N526CP,Vancon Holdings,1,"Payson, UT",,,C1,https://aviation-safety.net/database/record.php?id=20180813-0
13-AUG-2018,Airbus A321-271N,N204HA,Hawaiian Airlines,0,Los Angeles ...,,,A2,https://aviation-safety.net/database/record.php?id=20180813-1
15-AUG-2018,Boeing 777-367ER,B-KPY,Cathay Pacific,0,Roma-Fiumici...,,,A2,https://aviation-safety.net/database/record.php?id=20180815-0
16-AUG-2018,Boeing 737-85C (WL),B-5498,Xiamen Airlines,0,Manila-Ninoy...,,,A1,https://aviation-safety.net/database/record.php?id=20180816-0
19-AUG-2018,Antonov An-2T,D-FOJB,Ostthüringer Fallschirmsportclub,0,Gera-Leumnit...,,,A2,https://aviation-safety.net/database/record.php?id=20180819-0
19-AUG-2018,DHC-8-402Q Dash 8,N404AV,LC Perú,0,Lima-Jorge C...,,,A2,https://aviation-safety.net/database/record.php?id=20180819-1
22-AUG-2018,ATR 72-212A (ATR 72-600),B-16852,Mandarin Airlines,0,Taichung-Chi...,,,A2,https://aviation-safety.net/database/record.php?id=20180822-0
25-AUG-2018,Grumman HU-16C Albatross,N1955G,Stargazer Aero,0,near Cape Hattera...,,,A1,https://aviation-safety.net/database/record.php?id=20180825-0
26-AUG-2018,Cessna 208B Grand Caravan,5Y-BOP,Bush Air Safaris,0,Pieri Airstrip,,,A2,https://aviation-safety.net/database/record.php?id=20180826-0
26-AUG-2018,Boeing 767-333ER (WL),C-FMWV,Air Canada Rouge,0,near Vancouver In...,,,A2,https://aviation-safety.net/database/record.php?id=20180826-1
26-AUG-2018,Harbin Y12E,HK-5036,SATENA,0,Santafé del ...,,,A1,https://aviation-safety.net/database/record.php?id=20180826-2
28-AUG-2018,Airbus A320-214,B-6952,Beijing Capital Airlines,0,Macau Airpor...,,,A2,https://aviation-safety.net/database/record.php?id=20180828-0
28-AUG-2018,Antonov An-2R,LZ-1409,Air Mizia,0,near Brusartsi,,,A2,https://aviation-safety.net/database/record.php?id=20180828-1
30-AUG-2018,DHC-6 Twin Otter 300,ET-AIU/808,Ethiopian AF,18,near Mojo,,,A1,https://aviation-safety.net/database/record.php?id=20180830-0
01-SEP-2018,Boeing 737-8AS (WL),VQ-BJI,Utair,0,Adler/Sochi ...,,,A1,https://aviation-safety.net/database/record.php?id=20180901-0
03-SEP-2018,Beech B200 Super King Air,N97WC,West Coast Aircraft Shares,0,Burbank-Bob ...,,,A2,https://aviation-safety.net/database/record.php?id=20180903-0
06-SEP-2018,Beech A100 King Air,PT-LJN,VOAR Aviação,0,"Itapaci, GO",,,A1,https://aviation-safety.net/database/record.php?id=20180906-0
09-SEP-2018,Let L-410UVP,UR-TWO,"South West Aviation, lsf Slav-Air",20,near Yirol Airstrip,,,A1,https://aviation-safety.net/database/record.php?id=20180909-0
15-SEP-2018,Canadair CL-415,C-FOFI,Gov. of Newfoundland and Labrador,0,Whitehead Po...,,,A2,https://aviation-safety.net/database/record.php?id=20180915-0
16-SEP-2018,Boeing 747-428FER,TC-ACM,"Saudi Arabian, lsf ACT Airlines",0,Frankfurt In...,,,A2,https://aviation-safety.net/database/record.php?id=20180916-0
17-SEP-2018,Ilyushin Il-20M,RF-93610,Russian AF,15,near Latakia-Khme...,,,C1,https://aviation-safety.net/database/record.php?id=20180917-0
18-SEP-2018,BAe-125-700A,N109BG,Starjet Inc.,0,Santa Fe Air...,,,A2,https://aviation-safety.net/database/record.php?id=20180918-0
