,date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
38,11-MAR-2011,Cessna 208 Caravan I,JA889B,Tokyo Century Lease,0,Sendai Airpo...,,,O1,https://aviation-safety.net/database/record.php?id=20110311-2
39,11-MAR-2011,Cessna 208B Grand Caravan,PK-MAD,MAF,0,Mulia Airpor...,,,A2,https://aviation-safety.net/database/record.php?id=20110311-3
40,11-MAR-2011,Beech 300LW Super King Air,JA8881,Japan Digital Laboratory,0,Sendai Airpo...,,,O1,https://aviation-safety.net/database/record.php?id=20110311-5
41,12-MAR-2011,Bombardier Challenger 300,N818RC,Tri Marine Management Co.,0,Iqaluit Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20110312-0
42,16-MAR-2011,Beech 200 Super King Air,N849BM,Carde Equipment Sales,5,Long Beach M...,,,A1,https://aviation-safety.net/database/record.php?id=20110316-0
43,17-MAR-2011,Yakovlev Yak-40,5A-DKG,Air Libya,0,Benghazi-Ben...,,,O1,https://aviation-safety.net/database/record.php?id=20110317-0
44,17-MAR-2011,Yakovlev Yak-40KD,5A-DKM,Air Libya,0,Benghazi-Ben...,,,O1,https://aviation-safety.net/database/record.php?id=20110317-1
45,17-MAR-2011,Boeing 737-2D6,5A-DKY,Air Libya,0,Benghazi-Ben...,,,O1,https://aviation-safety.net/database/record.php?id=20110317-2
46,17-MAR-2011,Ilyushin Il-76TD,5A-DNA,Buraq Air,0,Tripoli Aipo...,,,O1,https://aviation-safety.net/database/record.php?id=20110317-3
47,20-MAR-2011,Convair CV-580F,C-GNRL,Nolinor Aviation,0,Seattle-Boei...,,,A1,https://aviation-safety.net/database/record.php?id=20110320-0
48,21-MAR-2011,Antonov An-12BP,TN-AGK,Trans Air Congo,9+ 14,near Pointe Noire...,,,A1,https://aviation-safety.net/database/record.php?id=20110321-0
49,22-MAR-2011,Airbus A300F4-622R,N173UP,UPS,0,Albuquerque ...,,,A2,https://aviation-safety.net/database/record.php?id=20110322-0
50,23-MAR-2011,Dassault Falcon 100,N303FZ,Aviation Transport Solutions,0,Jeffersonvil...,,,A1,https://aviation-safety.net/database/record.php?id=20110323-0
51,28-MAR-2011,Cessna 550 Citation II,B-7026,Zhong Fei General Aviation Co.,3,Manas County...,,,A1,https://aviation-safety.net/database/record.php?id=20110328-0
52,30-MAR-2011,Antonov An-2R,UR-54873,Mykolayiv-Aero,0,"near Dibrova, Zhy...",,,A2,https://aviation-safety.net/database/record.php?id=20110330-0
53,31-MAR-2011,DHC-3T Texas Turbine Otter,C-GMCW,Black Sheep Aviation & Cattle Co.,1,"near Mayo, YT",,,A1,https://aviation-safety.net/database/record.php?id=20110331-0
54,01-APR-2011,Boeing 737-3H4 (WL),N632SW,Southwest Airlines,0,Yuma Interna...,,,A2,https://aviation-safety.net/database/record.php?id=20110401-0
55,01-APR-2011,CASA C-212-CC40 Aviocar 200,C-FDKM,Fugro Aviation Canada,1,near Saskatoon Ai...,,,A1,https://aviation-safety.net/database/record.php?id=20110401-1
56,02-APR-2011,Gulfstream G650,N652GD,Gulfstream Aerospace,4,Roswell Inte...,,,A1,https://aviation-safety.net/database/record.php?id=20110402-0
57,04-APR-2011,Canadair CRJ-100ER,4L-GAE,"Georgian Airways, op.for UN",32,Kinshasa-N'D...,,,A1,https://aviation-safety.net/database/record.php?id=20110404-0
58,09-APR-2011,Rockwell Sabreliner 60,N71CC,Sabre 60 Jet,0,Fort Lauderd...,,,A1,https://aviation-safety.net/database/record.php?id=20110409-0
59,10-APR-2011,Boeing 777-333ER,C-FIVM,Air Canada,0,Paris-Charle...,,,A2,https://aviation-safety.net/database/record.php?id=20110410-0
60,11-APR-2011,Antonov An-2TP,N122AN,Vertol Systems Company,0,"near Loxley, AL",,,A1,https://aviation-safety.net/database/record.php?id=20110411-0
61,13-APR-2011,Airbus A330-203,F-GZCB,Air France,0,Caracas-Simó...,,,A2,https://aviation-safety.net/database/record.php?id=20110413-0
62,16-APR-2011,Yakovlev Yak-40K,RA-88241,Petropavlovsk-Kamchatsky Air Ent.,0,Ust-Kamchats...,,,A1,https://aviation-safety.net/database/record.php?id=20110416-0
63,16-APR-2011,BN-2A-27 Islander,VP-MNI,FlyMontserrat,0,Montserrat-J...,,,A2,https://aviation-safety.net/database/record.php?id=20110416-1
64,17-APR-2011,Boeing 777-F6N,B-2078,China Cargo Airlines,0,København-Ka...,,,A2,https://aviation-safety.net/database/record.php?id=20110417-0
65,25-APR-2011,Lockheed C-130E Hercules,62-1806,USAF,0,Jacksonville...,,,O1,https://aviation-safety.net/database/record.php?id=20110425-0
66,25-APR-2011,Lockheed C-130E Hercules,62-1851,USAF,0,Jacksonville...,,,O1,https://aviation-safety.net/database/record.php?id=20110425-1
67,26-APR-2011,Cessna 208B Super Cargomaster,N208TF,Martinaire,0,El Paso Inte...,,,A2,https://aviation-safety.net/database/record.php?id=20110426-0
68,28-APR-2011,Embraer EMB-145EP (ERJ-145EP),UR-DNK,Dniproavia,0,Moskva-Shere...,,,A1,https://aviation-safety.net/database/record.php?id=20110428-0
69,04-MAY-2011,Cessna 208B Grand Caravan,VT-NES,Northeast Shuttles,0,Lengpui Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20110504-0
70,05-MAY-2011,BAe-125-700A,N829SE,JODA,0,Loreto Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20110505-0
71,07-MAY-2011,Xian MA60,PK-MZK,Merpati Nusantara,25,near Kaimana-Utar...,,,A1,https://aviation-safety.net/database/record.php?id=20110507-0
72,10-MAY-2011,Fokker 50,OO-VLE,CityJet,0,Rotterdam/Th...,,,O1,https://aviation-safety.net/database/record.php?id=20110510-0
73,16-MAY-2011,Beech B200 Super King Air,N786SR,North Slope Borough,0,"near Atqasuk, AK",,,A1,https://aviation-safety.net/database/record.php?id=20110516-0
74,17-MAY-2011,Antonov An-2R,RA-68122,private,0,Sofiyivka Ip...,,,A1,https://aviation-safety.net/database/record.php?id=20110517-0
