,date,type,registration,operator,fat.,location,Unnamed: 6,pic,cat,url
406,27-APR-2013,Beech MC-12W Liberty,09-0676,USAF,4,near Kandahar Air...,,,A1,https://aviation-safety.net/database/record.php?id=20130427-0
407,29-APR-2013,Boeing 747-428BCF,N949CA,National Airlines (National Air Cargo),7,Bagram Air B...,,,A1,https://aviation-safety.net/database/record.php?id=20130429-0
408,30-APR-2013,Beech 300 Super King Air,XC-LMV,Mexican Government,6,near Zacatecas-La...,,,A1,https://aviation-safety.net/database/record.php?id=20130430-0
409,01-MAY-2013,DC-9-82 (MD-82),N7518A,American Airlines,0,Dallas/Fort ...,,,O1,https://aviation-safety.net/database/record.php?id=20130501-0
410,01-MAY-2013,Airbus A330-343X,LN-RKO,SAS,0,Newark-Liber...,,,A2,https://aviation-safety.net/database/record.php?id=20130501-1
411,01-MAY-2013,Embraer EMB-145LR (ERJ-145LR),N17560,"United Express, opb ExpressJet Airlines",0,Newark-Liber...,,,A2,https://aviation-safety.net/database/record.php?id=20130501-2
412,03-MAY-2013,Boeing KC-135R,63-8877,USAF,3,near Chaldovar,,,A1,https://aviation-safety.net/database/record.php?id=20130503-0
413,05-MAY-2013,Learjet 60,N119FD,private,2,near Valencia-Art...,,,A1,https://aviation-safety.net/database/record.php?id=20130505-0
414,05-MAY-2013,DHC-6 Twin Otter 300,C-GKBO,Kenn Borek Air,0,northeast co...,,,A2,https://aviation-safety.net/database/record.php?id=20130505-1
415,08-MAY-2013,BAe-146-200QT,PK-JKC,Nusantara Air Charter,0,Wamena Airpo...,,,O1,https://aviation-safety.net/database/record.php?id=20130508-0
416,10-MAY-2013,Antonov An-2R,YR-LRA,Aero Scoroget,0,Strehaia,,,A1,https://aviation-safety.net/database/record.php?id=20130510-0
417,10-MAY-2013,CASA/Nurtanio NC-212 Aviocar,PK-TLG,Nusantara Buana Air,0,near Ternate,,,A2,https://aviation-safety.net/database/record.php?id=20130510-1
418,13-MAY-2013,Learjet 35A,N22MS,Evergreen International Aviation,0,McMinnville ...,,,A1,https://aviation-safety.net/database/record.php?id=20130513-0
419,15-MAY-2013,Antonov An-2R,RA-31403,Aviakompanija Annushka,1,near Chernolessko...,,,A1,https://aviation-safety.net/database/record.php?id=20130515-0
420,16-MAY-2013,Harbin Yunshuji Y-12 II,B-3801,China Flying Dragon,0,near Shenyang-Tao...,,,A1,https://aviation-safety.net/database/record.php?id=20130516-0
421,16-MAY-2013,DHC-6 Twin Otter 300,9N-ABO,Nepal Airlines,0,Jomsom Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20130516-1
422,16-MAY-2013,Xian MA60,XY-AIQ,Myanma Airways,0,Mong Hsat Ai...,,,A2,https://aviation-safety.net/database/record.php?id=20130516-2
423,18-MAY-2013,DHC-8-102 Dash 8,N934HA,"US Airways Express, opb Piedmont Airlines",0,Newark-Liber...,,,A2,https://aviation-safety.net/database/record.php?id=20130518-0
424,18-MAY-2013,Cessna 500 Citation I,PT-LPZ,BFB Leasing,0,São Paulo-Ca...,,,A1,https://aviation-safety.net/database/record.php?id=20130518-1
425,19-MAY-2013,Lockheed C-130J-30 Super Hercules,04-3144,USAF,0,Forward Oper...,,,A1,https://aviation-safety.net/database/record.php?id=20130519-0
426,24-MAY-2013,Boeing 777-340ER,AP-BID,PIA,0,London-Stans...,,,H2,https://aviation-safety.net/database/record.php?id=20130524-0
427,24-MAY-2013,Antonov An-2SX,EX-02015,Valor Air,3,"near Jyl-Kol, Jal...",,,A1,https://aviation-safety.net/database/record.php?id=20130524-1
428,24-MAY-2013,Airbus A319-131,G-EUOE,British Airways,0,London-Heath...,,,A2,https://aviation-safety.net/database/record.php?id=20130524-2
429,24-MAY-2013,Airbus A320-232,LZ-MDR,Air VIA,0,Varna Airpot...,,,A2,https://aviation-safety.net/database/record.php?id=20130524-3
430,26-MAY-2013,Boeing KC-137E (707-324C),2404,Brazilian AF,0,Port-au-Prin...,,,A2,https://aviation-safety.net/database/record.php?id=20130526-0
431,26-MAY-2013,Bombardier DHC-8-402Q Dash 8,C-GLQO,Porter Airlines,0,Sault Ste. M...,,,A2,https://aviation-safety.net/database/record.php?id=20130526-1
432,27-MAY-2013,Cessna 208B Grand Caravan,9N-AJU,Goma Air,0,Simikot Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20130527-0
433,31-MAY-2013,BAe ATP-F,PK-DGI,Deraya Air Taxi,0,Wamena Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20130531-0
434,??-MAY-2013,Lockheed C-130H Hercules,T.10-02,Spanish AF,0,unknown,,,U1,https://aviation-safety.net/database/record.php?id=20130599-0
435,01-JUN-2013,Dornier 228-202K,9N-AHB,Sita Air,0,Simikot Airp...,,,A2,https://aviation-safety.net/database/record.php?id=20130601-0
436,02-JUN-2013,Airbus A320-214,RP-C3266,Cebu Pacific Air,0,Davao City-F...,,,A2,https://aviation-safety.net/database/record.php?id=20130602-0
437,03-JUN-2013,Beech B200 Super King Air,ZS-GJV,RV Consulting Partnership,0,Lanseria Air...,,,A2,https://aviation-safety.net/database/record.php?id=20130603-0
438,07-JUN-2013,Embraer EMB-145LI (ERJ-145LI),B-3052,China Eastern,0,Shanghai-Hon...,,,A2,https://aviation-safety.net/database/record.php?id=20130607-0
439,07-JUN-2013,Beech B200GT King Air,N510LD,Osage Air,1,near Baton Rouge ...,,,A1,https://aviation-safety.net/database/record.php?id=20130607-1
440,08-JUN-2013,Airbus A320-232,HA-LWM,Wizz Air,0,Roma-Fiumici...,,,A2,https://aviation-safety.net/database/record.php?id=20130608-0
441,08-JUN-2013,Cessna 208B Super Cargomaster,C-FZDN,Skydive Toronto,0,near Cookstown Ai...,,,A1,https://aviation-safety.net/database/record.php?id=20130608-1
442,10-JUN-2013,Xian MA60,PK-MZO,Merpati Nusantara,0,Kupang-El Ta...,,,A1,https://aviation-safety.net/database/record.php?id=20130610-0
443,10-JUN-2013,Xian MA60,XY-AIP,Myanma Airways,0,Kawthaung Ai...,,,A2,https://aviation-safety.net/database/record.php?id=20130610-1
444,10-JUN-2013,Cessna 208 Caravan I,TT-BAU,CotonTchad,1,near N'Gaoundéré ...,,,A1,https://aviation-safety.net/database/record.php?id=20130610-2
445,10-JUN-2013,Beech 100 King Air,C-GJSU,Aviation Flycie,0,near Saint-Mathie...,,,A1,https://aviation-safety.net/database/record.php?id=20130610-3
446,11-JUN-2013,Beech A100 King Air,C-FDOY,Wabusk Air,0,Kapuskasing ...,,,A1,https://aviation-safety.net/database/record.php?id=20130611-0
447,13-JUN-2013,Canadair Challenger 601-3A,N613SB,Grady International,0,Chino Airpor...,,,O1,https://aviation-safety.net/database/record.php?id=20130613-0
448,13-JUN-2013,Saab 340B,C6-SBJ,SkyBahamas Airlines,0,Marsh Harbou...,,,A1,https://aviation-safety.net/database/record.php?id=20130613-1
449,13-JUN-2013,MD-88,N995DL,Delta Air Lines,0,Nashville In...,,,A2,https://aviation-safety.net/database/record.php?id=20130613-2
450,13-JUN-2013,Airbus A319-111,RP-C3197,Cebu Pacific Air,0,Manila-Ninoy...,,,A2,https://aviation-safety.net/database/record.php?id=20130613-3
451,16-JUN-2013,Bombardier Global 5000,M-YSAI,Capital Investment Worldwide,0,Singapore-Se...,,,A2,https://aviation-safety.net/database/record.php?id=20130616-0
452,18-JUN-2013,IAI 1124 Westwind,N112EM,E. Micah Aviation,0,Cincinnati M...,,,A1,https://aviation-safety.net/database/record.php?id=20130618-0
453,19-JUN-2013,Antonov An-2R,HA-MDP,Gergely Air,0,near Fertöszentmi...,,,A1,https://aviation-safety.net/database/record.php?id=20130619-0
454,25-JUN-2013,Beech 200 Super King Air,N92JR,Tennair,0,near Chicago-Exec...,,,A1,https://aviation-safety.net/database/record.php?id=20130625-0
455,28-JUN-2013,Antonov An-2,RF-00408,DOSAAF,0,near Nekrasovka,,,A1,https://aviation-safety.net/database/record.php?id=20130628-0
456,28-JUN-2013,Antonov An-2R,UP-A0190,Asia Continental Avialines,1,"near Terenozek, K...",,,A1,https://aviation-safety.net/database/record.php?id=20130628-1
457,28-JUN-2013,Cessna F406 Caravan II,5H-TZC,Tanzanair,0,Seronera Air...,,,A2,https://aviation-safety.net/database/record.php?id=20130628-2
458,29-JUN-2013,Embraer EMB-110P1 Bandeirante,ZS-NVB,Batair Cargo,2,near Francistown ...,,,A1,https://aviation-safety.net/database/record.php?id=20130629-0
459,03-JUL-2013,Canadair CL-415,C-FIZU,Gov. of Newfoundland and Labrador,0,Moosehead La...,,,A1,https://aviation-safety.net/database/record.php?id=20130703-0
460,03-JUL-2013,Airbus A320-212,JY-PTA,Petra Airlines,0,Tripoli Inte...,,,O1,https://aviation-safety.net/database/record.php?id=20130703-1
461,05-JUL-2013,Rockwell Sabreliner 65,XB-RSC,Eseasa Contrucciones,0,Las Vegas-Mc...,,,A2,https://aviation-safety.net/database/record.php?id=20130705-0
462,06-JUL-2013,Boeing 777-28EER,HL7742,Asiana Airlines,3,San Francisc...,,,A1,https://aviation-safety.net/database/record.php?id=20130706-0
463,07-JUL-2013,DHC-3T Texas Turbine Otter,N93PC,Rediske Air,10,Soldotna Air...,,,A1,https://aviation-safety.net/database/record.php?id=20130707-0
464,12-JUL-2013,Boeing 787-8,ET-AOP,Ethiopian Airlines,0,London-Heath...,,,O2,https://aviation-safety.net/database/record.php?id=20130712-0
465,15-JUL-2013,Cessna 208B Grand Caravan,8R-AMS,ASL,0,near Matthews Rid...,,,A2,https://aviation-safety.net/database/record.php?id=20130715-0
466,15-JUL-2013,Antonov An-2R,UP-A0126,Astana Flown Spur,0,Shieli distr...,,,A2,https://aviation-safety.net/database/record.php?id=20130715-1
467,17-JUL-2013,Cessna 208B Grand Caravan,N732MD,Air Choice One,0,Chicago-O'Ha...,,,A2,https://aviation-safety.net/database/record.php?id=20130717-0
468,19-JUL-2013,BN-2A-21 Islander,HP-1338MF,My Flight Corp,0,"Isla Perico,...",,,A1,https://aviation-safety.net/database/record.php?id=20130719-0
469,21-JUL-2013,Sukhoi Superjet 100-95,97005,Sukhoi Civil Aircraft,0,Keflavík Int...,,,A2,https://aviation-safety.net/database/record.php?id=20130721-0
470,21-JUL-2013,Antonov An-2R,UR-ART,Albatross Avia,0,"Pyatikhatki,...",,,A2,https://aviation-safety.net/database/record.php?id=20130721-1
471,22-JUL-2013,Boeing 737-7H4 (WL),N753SW,Southwest Airlines,0,New York-La ...,,,A1,https://aviation-safety.net/database/record.php?id=20130722-0
472,25-JUL-2013,Canadair Challenger 601,N163WG,Blue Water Aviation,0,unknown,,,A1,https://aviation-safety.net/database/record.php?id=20130725-0
473,28-JUL-2013,Antonov An-2,FLA-3618K,private,0,near Shakhty Airport,,,A1,https://aviation-safety.net/database/record.php?id=20130728-0
474,29-JUL-2013,Saab 340B,UR-ARO,"Air Urga, opf UN",0,Lubumbashi I...,,,A1,https://aviation-safety.net/database/record.php?id=20130729-0
475,05-AUG-2013,Beech B200 Super King Air,TF-MYX,Mýflug Air,2,near Akureyri Air...,,,A1,https://aviation-safety.net/database/record.php?id=20130805-0
476,05-AUG-2013,Embraer Phenom 300,N327FL,Flight Options,0,Minneapolis-...,,,A2,https://aviation-safety.net/database/record.php?id=20130805-1
477,06-AUG-2013,Shijiazhuang Y-5B,B-8473,Jingmen General Aviation,1,Danfeng County,,,A1,https://aviation-safety.net/database/record.php?id=20130806-0
478,06-AUG-2013,Fokker 50,ST-ARG,Mid Airlines,0,Khartoum-Civ...,,,A2,https://aviation-safety.net/database/record.php?id=20130806-1
479,09-AUG-2013,Antonov An-12BK,UR-CAG,Ukraine Air Alliance,0,Leipzig Airp...,,,A1,https://aviation-safety.net/database/record.php?id=20130809-0
480,09-AUG-2013,Antonov An-12B,1513,Ethiopian AF,4,Mogadishu In...,,,A1,https://aviation-safety.net/database/record.php?id=20130809-1
481,10-AUG-2013,Antonov An-2T,D-FWJC,Air Tempelhof,0,Bienenfarm A...,,,A1,https://aviation-safety.net/database/record.php?id=20130810-0
482,10-AUG-2013,Airbus A320-232,VH-VGR,Jetstar Airways,0,Melbourne-Tu...,,,A2,https://aviation-safety.net/database/record.php?id=20130810-1
483,10-AUG-2013,Boeing 737-8FE (WL),VH-YID,Virgin Australia Airlines,0,Melbourne-Tu...,,,A2,https://aviation-safety.net/database/record.php?id=20130810-2
484,14-AUG-2013,Airbus A300F4-622R,N155UP,UPS,2,near Birmingham-S...,,,A1,https://aviation-safety.net/database/record.php?id=20130814-0
485,16-AUG-2013,Antonov An-2TP,RA-01419,Polyarnye Avialinii,0,near Vilyuisk,,,A1,https://aviation-safety.net/database/record.php?id=20130816-0
486,19-AUG-2013,Douglas DC-3C,C-GWIR,Buffalo Airways,0,Yellowknife ...,,,A1,https://aviation-safety.net/database/record.php?id=20130819-0
487,20-AUG-2013,Swearingen SA227-DC Metro 23,CP-2655,Aerocon,0,Sucre-Juana ...,,,A1,https://aviation-safety.net/database/record.php?id=20130820-0
488,22-AUG-2013,Beech B200C Super King Air,5H-TZW,Tanzanair,0,Lake Manyara,,,A1,https://aviation-safety.net/database/record.php?id=20130822-0
489,22-AUG-2013,DHC-3T Vazar Turbine Otter,C-FSGD,Transwest Air,1,near Ivanhoe Lake...,,,A1,https://aviation-safety.net/database/record.php?id=20130822-1
490,22-AUG-2013,BN-2B-27 Islander,XC-FEE,Chihuahua State Government,0,near Purisima del...,,,A1,https://aviation-safety.net/database/record.php?id=20130822-2
491,25-AUG-2013,Antonov An-26B-100,EK-26818,"South Airlines, op.for Transom Airways",0,Guri'el Airs...,,,A1,https://aviation-safety.net/database/record.php?id=20130825-0
492,01-SEP-2013,Beech 1900D,N169GL,Great Lakes Airlines,0,Telluride Ai...,,,A2,https://aviation-safety.net/database/record.php?id=20130901-0
493,07-SEP-2013,Canadair CRJ-200ER,TC-EJA,"MNG Jet, op.for Europe Jet",0,Moskva-Vnuko...,,,A1,https://aviation-safety.net/database/record.php?id=20130907-0
494,08-SEP-2013,Airbus A330-321,HS-TEF,Thai Airways International,0,Bangkok-Suva...,,,A1,https://aviation-safety.net/database/record.php?id=20130908-0
495,08-SEP-2013,Learjet 35A,XA-DAZ,Rajet Aeroservicios,0,Hermosillo-G...,,,A2,https://aviation-safety.net/database/record.php?id=20130908-1
496,09-SEP-2013,Dornier 228-202K,CC-CNW,CorpFlite,2,near Viña del Mar...,,,A1,https://aviation-safety.net/database/record.php?id=20130909-0
497,17-SEP-2013,ATR 72-202,EC-LNP,"Helitt Líneas Aéreas, op.for Colombe Air Line",0,Ouagadougou ...,,,O1,https://aviation-safety.net/database/record.php?id=20130917-0
498,18-SEP-2013,Antonov An-2R,RA-33017,"Sosvapromgeologiya, op.for Taksavia",0,near Nyagan,,,A1,https://aviation-safety.net/database/record.php?id=20130918-0
499,23-SEP-2013,Boeing 747-3B3,EP-MNE,Mahan Air,0,Kerman Inter...,,,A2,https://aviation-safety.net/database/record.php?id=20130923-0
500,25-SEP-2013,Cessna 208B Grand Caravan,C-FEXV,Morningstar Air Express,1,"Hudson Bay, ON",,,A1,https://aviation-safety.net/database/record.php?id=20130925-0
501,26-SEP-2013,Airbus A321-231,TC-OBZ,Onur Air,0,near Deauville-Sa...,,,I2,https://aviation-safety.net/database/record.php?id=20130926-0
502,27-SEP-2013,DHC-8-402Q Dash 8,9A-CQC,Croatia Airlines,0,Zürich-Klote...,,,A2,https://aviation-safety.net/database/record.php?id=20130927-0
503,27-SEP-2013,Boeing 747-428(M),9M-ACM,"Nasair, lsf Eaglexpress",0,Nouakchott-O...,,,A2,https://aviation-safety.net/database/record.php?id=20130927-1
504,29-SEP-2013,Airbus A320-216,EI-EIB,Alitalia,0,Roma-Fiumici...,,,A2,https://aviation-safety.net/database/record.php?id=20130929-0
505,29-SEP-2013,Cessna 525A CitationJet CJ2,N194SJ,CREX-MML,4,Santa Monica...,,,A1,https://aviation-safety.net/database/record.php?id=20130929-1
506,03-OCT-2013,Embraer EMB-120RT Brasilia,5N-BJY,Associated Aviation,16,Lagos-Murtal...,,,A1,https://aviation-safety.net/database/record.php?id=20131003-0
507,05-OCT-2013,DHC-8-202,N356PH,USAF,4,"Acandí, Choc...",,,A1,https://aviation-safety.net/database/record.php?id=20131005-0
508,06-OCT-2013,Saab 340B,HS-GBG,Nok Mini Airlines,0,Udon Thani A...,,,A1,https://aviation-safety.net/database/record.php?id=20131006-0
509,06-OCT-2013,BN-2A-8 Islander,N909GD,Air Flamenco,1,near Cayo Luis Peña,,,A1,https://aviation-safety.net/database/record.php?id=20131006-1
510,06-OCT-2013,Antonov An-2,RA-31505,Sputnik,0,"Sevryukova, ...",,,A1,https://aviation-safety.net/database/record.php?id=20131006-2
511,07-OCT-2013,Airbus A330-301,RP-C3336,Philippine Air Lines,0,Manila-Ninoy...,,,A1,https://aviation-safety.net/database/record.php?id=20131007-0
512,10-OCT-2013,DHC-6 Twin Otter 310,9M-MDM,MASwings,2,Kudat Airpor...,,,A1,https://aviation-safety.net/database/record.php?id=20131010-0
513,10-OCT-2013,Antonov An-2T,UR-54853,private,2,"near Skulyn, Voly...",,,A1,https://aviation-safety.net/database/record.php?id=20131010-1
514,11-OCT-2013,Cessna 208B Grand Caravan,5H-KEN,Tropical Air,0,Likawage Air...,,,A1,https://aviation-safety.net/database/record.php?id=20131011-0
515,12-OCT-2013,Cessna 525A CitationJet CJ2+,N368PK,Executive AirShare,0,near Lincoln Muni...,,,A2,https://aviation-safety.net/database/record.php?id=20131012-1
516,14-OCT-2013,Cessna 208B Grand Caravan,XA-TXM,AereoServicio Guerrero,14,near Loreto Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20131014-0
517,15-OCT-2013,Embraer Phenom 100,N610AS,Executive AirShare,0,Wichita-Colo...,,,A2,https://aviation-safety.net/database/record.php?id=20131015-0
518,16-OCT-2013,ATR 72-212A (ATR 72-600),RDPL-34233,Lao Airlines,49,near Pakse Airpor...,,,A1,https://aviation-safety.net/database/record.php?id=20131016-0
519,16-OCT-2013,Hawker Siddeley HS-748,C-FFFS,Wasaya Airways,0,Kenora Airpo...,,,A2,https://aviation-safety.net/database/record.php?id=20131016-1
520,18-OCT-2013,Cessna 500 Citation I,N610ED,Dufresne,2,"near Derby, KS",,,A1,https://aviation-safety.net/database/record.php?id=20131018-0
521,19-OCT-2013,BAe-146-200,RP-C5525,SkyJet Airlines,0,Balesin Airs...,,,A1,https://aviation-safety.net/database/record.php?id=20131019-0
522,19-OCT-2013,ATR 42-320F,P2-PXY,"Farnair Switzerland, op.for Air Niugini",0,Madang Airpo...,,,A1,https://aviation-safety.net/database/record.php?id=20131019-1
523,21-OCT-2013,Cessna 208B Grand Caravan,N861MA,Mokulele Airlines,0,Piilani High...,,,A2,https://aviation-safety.net/database/record.php?id=20131021-0
524,23-OCT-2013,Beech 1900C,N575U,ERA Aviation,0,Homer Airpor...,,,A2,https://aviation-safety.net/database/record.php?id=20131023-0
525,25-OCT-2013,Fokker F-27 Friendship 500F,I-MLVT,"Europe Airpost, opb Miniliner",0,Paris-Charle...,,,A1,https://aviation-safety.net/database/record.php?id=20131025-0
526,26-OCT-2013,Antonov An-2,unreg.,private,2,"Tayozhny, Kr...",,,A1,https://aviation-safety.net/database/record.php?id=20131026-0
527,29-OCT-2013,Cessna 208B Grand Caravan,PK-ICY,Pegasus Air Services,0,Pogapa Airstrip,,,A2,https://aviation-safety.net/database/record.php?id=20131029-0
528,??-OCT-2013,Embraer EMB-110P Bandeirante,CU-T1552,Aerocaribbean,0,Havana-José ...,,,A2,https://aviation-safety.net/database/record.php?id=20131099-0
529,03-NOV-2013,Swearingen SA227-AC Metro III,CP-2754,Aerocon,8,Riberalta Ai...,,,A1,https://aviation-safety.net/database/record.php?id=20131103-0
530,03-NOV-2013,BN-2B-21 Islander,G-CIAS,Channel Islands Air Search,0,Devil's Hole...,,,A1,https://aviation-safety.net/database/record.php?id=20131103-1
531,04-NOV-2013,Hawker Siddeley DH-125-400A,XB-MGM,Unknown,0,"near Buena Vista,...",,,C1,https://aviation-safety.net/database/record.php?id=20131104-0
532,07-NOV-2013,Boeing 737-7Q8 (WL),LV-CYO,Aerolineas Argentinas,0,Buenos Aires...,,,A2,https://aviation-safety.net/database/record.php?id=20131107-0
533,07-NOV-2013,Embraer ERJ-190,LV-CIE,Austral Lineas Aéreas,0,Buenos Aires...,,,A2,https://aviation-safety.net/database/record.php?id=20131107-1
534,10-NOV-2013,Swearingen SA227-AC Metro III,C-FFZN,Bearskin Airlines,5,near Red Lake Air...,,,A1,https://aviation-safety.net/database/record.php?id=20131110-0
535,15-NOV-2013,Embraer ERJ-190,LV-CKZ,Austral Lineas Aéreas,0,Buenos Aires...,,,A2,https://aviation-safety.net/database/record.php?id=20131115-0
536,17-NOV-2013,Boeing 737-53A,VQ-BBN,Tatarstan,50,Kazan Intern...,,,A1,https://aviation-safety.net/database/record.php?id=20131117-0
537,17-NOV-2013,Antonov An-2R,9Q-CFT,Air Kasai,0,"Kamako, West...",,,A2,https://aviation-safety.net/database/record.php?id=20131117-1
538,19-NOV-2013,Learjet 35A,XA-USD,Aero J.L.,4,near Fort Lauderd...,,,A1,https://aviation-safety.net/database/record.php?id=20131119-0
539,22-NOV-2013,Beech 1900C-1,N575X,Era Alaska,0,Badami Airpo...,,,A2,https://aviation-safety.net/database/record.php?id=20131122-0
540,24-NOV-2013,MD-11F,D-ALCE,Lufthansa Cargo,0,São Paulo/Ca...,,,A2,https://aviation-safety.net/database/record.php?id=20131124-0
541,24-NOV-2013,DHC-8-102,N808EX,"US Airways Express, opb Piedmont Airlines",0,near Philadelphia...,,,A2,https://aviation-safety.net/database/record.php?id=20131124-1
542,25-NOV-2013,Cessna 208B Grand Caravan,P2-SAH,Tropicair,3,Kibeni,,,A1,https://aviation-safety.net/database/record.php?id=20131125-0
543,25-NOV-2013,Beech B200 Super King Air,VN-B594,VASCO,0,Buon Me Thuo...,,,A2,https://aviation-safety.net/database/record.php?id=20131125-1
544,25-NOV-2013,Douglas C-118A Liftmaster (DC-6A),N100CE,Everts Air Cargo,0,"Nuiqsut, AK",,,A2,https://aviation-safety.net/database/record.php?id=20131125-2
545,29-NOV-2013,Embraer ERJ-190,C9-EMC,LAM,33,Bwabwata Nat...,,,C1,https://aviation-safety.net/database/record.php?id=20131129-0
546,29-NOV-2013,Cessna 208B Grand Caravan,N12373,Era Alaska,4,near Saint Mary's...,,,A1,https://aviation-safety.net/database/record.php?id=20131129-1
547,29-NOV-2013,Bombardier DHC-8-402Q Dash 8,JA462A,ANA Wings,0,near Fukue Airpor...,,,A2,https://aviation-safety.net/database/record.php?id=20131129-2
548,30-NOV-2013,Antonov An-26B,NAF-3-642,Namibian Air Force,0,Omega Airpor...,,,A1,https://aviation-safety.net/database/record.php?id=20131130-0
549,30-NOV-2013,Learjet 35A,(N175BA),Unknown,0,near San Fernando...,,,C1,https://aviation-safety.net/database/record.php?id=20131130-1
550,02-DEC-2013,Swearingen SA227-AC Metro III,N831BC,IBC Airways,2,"near La Alianza, ...",,,A1,https://aviation-safety.net/database/record.php?id=20131202-0
551,02-DEC-2013,Cessna 560 Citation Encore,N810QS,NetJets,0,"near Walton, IN",,,A2,https://aviation-safety.net/database/record.php?id=20131202-1
552,03-DEC-2013,Airbus A320-214,HB-IJB,Swiss,0,London-Heath...,,,A2,https://aviation-safety.net/database/record.php?id=20131203-0
553,04-DEC-2013,Boeing 747-281BSF,EK74798,"Veteran Airline, op.for Saudi Arabian",0,Abuja Intern...,,,A1,https://aviation-safety.net/database/record.php?id=20131204-0
554,04-DEC-2013,BN-2A-3 Islander,PT-WMY,Heringer Táxi Aéreo,5,near Pikany India...,,,A1,https://aviation-safety.net/database/record.php?id=20131204-2
555,05-DEC-2013,Boeing 767-332ER (WL),N182DN,Delta Air Lines,0,Madrid-Baraj...,,,A2,https://aviation-safety.net/database/record.php?id=20131205-0
556,10-DEC-2013,Gulfstream G550,HZ-A6,Alpha Star Aviation Services,0,London-Stans...,,,A2,https://aviation-safety.net/database/record.php?id=20131210-0
557,10-DEC-2013,Fokker F-27 Friendship 400M,FAB-90,TAM,0,Guayaramerín...,,,A2,https://aviation-safety.net/database/record.php?id=20131210-1
558,11-DEC-2013,Cessna 208B Grand Caravan,N687MA,Makani Kai Air,1,near Kalaupapa Ai...,,,A1,https://aviation-safety.net/database/record.php?id=20131211-0
559,13-DEC-2013,Boeing 757-2B7 (WL),N202UW,US Airways,0,Amsterdam-Sc...,,,A2,https://aviation-safety.net/database/record.php?id=20131213-0
560,13-DEC-2013,Boeing 737-8K2 (WL),PH-BXZ,KLM,0,Amsterdam-Sc...,,,A2,https://aviation-safety.net/database/record.php?id=20131213-1
561,17-DEC-2013,Raytheon 390 Premier I,N50PM,Mallen Industries,2,near Atlanta-Fult...,,,A1,https://aviation-safety.net/database/record.php?id=20131217-0
562,19-DEC-2013,Boeing 737-58E,ST-NVG,Nova Airways,0,Juba Airport...,,,A2,https://aviation-safety.net/database/record.php?id=20131219-0
563,22-DEC-2013,Boeing 747-436,G-BNLL,British Airways,0,Johannesburg...,,,A1,https://aviation-safety.net/database/record.php?id=20131222-0
564,23-DEC-2013,Learjet 45,N845SC,Southern Cross Aviation,0,Bangor Inter...,,,A1,https://aviation-safety.net/database/record.php?id=20131223-0
565,24-DEC-2013,Airbus A330-343X,G-VNYC,Virgin Atlantic,0,Saint Lucia-...,,,A2,https://aviation-safety.net/database/record.php?id=20131224-0
566,26-DEC-2013,Antonov An-12,12162,Irkut,9,near Irkutsk-2 Ai...,,,A1,https://aviation-safety.net/database/record.php?id=20131226-0
567,31-DEC-2013,Cessna 525A CitationJet CJ2+,N380CR,private,0,"near Coventry, Wa...",,,A2,https://aviation-safety.net/database/record.php?id=20131231-0
568,??-???-2013,Raytheon Hawker 800XP,OY-JJA,Sun-Air,0,Thisted Airp...,,,A1,https://aviation-safety.net/database/record.php?id=20139999-0
569,03-JAN-2014,Boeing 737-8H4 (WL),N8327A,Southwest Airlines,0.0,Las Vegas-Mc...,,,A2,https://aviation-safety.net/database/record.php?id=20140103-0
570,05-JAN-2014,Boeing 767-3W0ER,HS-BKE,"Orient Thai Airlines, op.for Saudi Arabian",0.0,Madinah-Moha...,,,A2,https://aviation-safety.net/database/record.php?id=20140105-0
571,05-JAN-2014,Canadair Challenger 601-3R,N115WF,Vineland Corporation,1.0,Aspen-Pitkin...,,,A1,https://aviation-safety.net/database/record.php?id=20140105-1
572,05-JAN-2014,Airbus A320-231,VT-ESH,Air India,0.0,Jaipur Inter...,,,A1,https://aviation-safety.net/database/record.php?id=20140105-2
573,07-JAN-2014,Fokker 50,C5-SSA,South Supreme Airlines,0.0,Aweil Airport,,,A2,https://aviation-safety.net/database/record.php?id=20140107-0
574,08-JAN-2014,Saab 340A,C-FPAI,Provincial Airlines,0.0,Stephenville...,,,A1,https://aviation-safety.net/database/record.php?id=20140108-0
575,10-JAN-2014,Beech 300 King Air (MARSS),N195AE,US Army,3.0,Eastern Afgh...,,,A1,https://aviation-safety.net/database/record.php?id=20140110-0
576,12-JAN-2014,Cessna 501 Citation I/SP,N452TS,Theo Steil GmbH,4.0,near Trier-Föhren...,,,A1,https://aviation-safety.net/database/record.php?id=20140112-0
577,14-JAN-2014,Gulfstream G200,N720QS,NetJets,0.0,"near Savannah, GA",,,A2,https://aviation-safety.net/database/record.php?id=20140114-0
578,18-JAN-2014,DC-9-33RC,XA-UQM,Aeronaves TSM,0.0,Saltillo-Pla...,,,A1,https://aviation-safety.net/database/record.php?id=20140118-0
579,18-JAN-2014,Cessna 208B Grand Caravan,8R-GHS,Trans Guyana Airways,2.0,near Olive Creek,,,A1,https://aviation-safety.net/database/record.php?id=20140118-1
